Palette at 400000_400010:
Idx | R | G | B
13  | 214 | 115 |   0
14  | 247 | 165 |   0
15  | 247 | 247 |   0

Palette at 4000A0_4000B0:
Idx | R | G | B
00  |   0 |   0 |  82
01  |   0 |   0 |   0
02  |   0 |   0 |   0
03  |   0 |   0 |   0
04  |   0 |   0 |   0
05  |   0 |   0 |   0
06  |   0 |   0 |   0
07  |   0 |   0 |   0
08  |   0 |   0 |   0
09  |   0 |   0 |   0
10  |   0 |   0 |   0
11  |   0 |   0 |   0
12  |   0 |   0 |   0
13  |   0 |   0 |   0
14  |   0 |   0 |   0
15  |   0 |   0 |   0

Palette at 4000C0_4000D0:
Idx | R | G | B
00  |   0 |   0 |  99
01  |   0 |   0 |   0
02  |   0 |   0 |   0
03  |   0 |   0 |   0
04  |   0 |   0 |   0
05  |   0 |   0 |   0
06  |   0 |   0 |   0
07  |   0 |   0 |   0
08  |   0 |   0 |   0
09  |   0 |   0 |   0
10  |   0 |   0 |   0
11  |   0 |   0 |   0
12  |   0 |   0 |   0
13  |   0 |   0 |   0
14  |   0 |   0 |   0
15  |   0 |   0 |   0

Palette at 4000E0_4000F0:
Idx | R | G | B
00  |   0 |   0 | 115
01  |   0 |   0 |   0
02  |   0 |   0 |   0
03  |   0 |   0 |   0
04  |   0 |   0 |   0
05  |   0 |   0 |   0
06  |   0 |   0 |   0
07  |   0 |   0 |   0
08  |   0 |   0 |   0
09  |   0 |   0 |   0
10  |   0 |   0 |   0
11  |   0 |   0 |   0
12  |   0 |   0 |   0
13  |   0 |   0 |   0
14  |   0 |   0 |   0
15  |   0 |   0 |   0

Palette at 400100_400110:
Idx | R | G | B
00  |   0 |   0 | 132
01  | 247 |   0 |   0
02  | 247 |   0 |   0
03  | 247 |   0 |   0
04  | 247 |   0 |   0
05  | 247 |   0 |   0
06  | 247 |   0 |   0
07  | 247 |   0 |   0
08  | 247 |   0 |   0
09  | 247 |   0 |   0
10  | 247 |   0 |   0
11  | 247 |   0 |   0
12  | 247 |   0 |   0
13  | 247 |   0 |   0
14  | 247 |   0 |   0
15  | 247 |   0 |   0

Palette at 400120_400130:
Idx | R | G | B
00  |   0 |   0 | 148
01  |   0 |   0 |   0
02  |   0 |   0 |   0
03  |   0 |   0 |   0
04  |   0 |   0 |   0
05  |   0 |   0 |   0
06  |   0 |   0 |   0
07  |   0 |   0 |   0
08  |   0 |   0 |   0
09  |   0 |   0 |   0
10  |   0 |   0 |   0
11  |   0 |   0 |   0
12  |   0 |   0 |   0
13  |   0 |   0 |   0
14  |   0 |   0 |   0
15  |   0 |   0 |   0

Palette at 400140_400150:
Idx | R | G | B
00  |   0 |   0 | 165
01  | 148 |   0 |  16
02  | 214 | 132 |  82
03  | 247 | 197 | 148
04  |  99 |   0 | 165
05  | 181 |   0 | 247
06  | 247 | 132 | 247
07  | 247 |   0 |   0
08  | 247 | 165 |  16
09  |  82 |  82 |  82
10  | 148 | 148 | 148
11  | 230 | 230 | 230
12  |  82 |  16 |   0
13  |  49 | 132 | 181
14  | 115 | 214 | 230
15  |   0 |   0 |   0

Palette at 400160_400170:
Idx | R | G | B
00  |   0 |   0 | 181
01  | 148 |  33 |  16
02  | 132 | 181 |   0
03  | 247 | 197 | 148
04  | 115 |  82 |   0
05  | 214 | 148 |  49
06  | 247 | 230 |   0
07  |   0 |  66 |   0
08  |  49 | 132 | 197
09  | 148 | 230 | 247
10  |  82 |  82 |  82
11  | 148 | 148 | 148
12  | 230 | 230 | 230
13  |  33 |  82 |   0
14  |  82 | 132 |   0
15  |   0 |   0 |   0

Palette at 400180_400190:
Idx | R | G | B
00  |   0 |   0 | 197
01  |  49 |  49 |  33
02  | 214 | 132 |  82
03  | 247 | 197 | 148
04  | 132 |   0 |   0
05  | 230 |   0 |   0
06  | 247 |  99 |  33
07  | 132 | 132 |  66
08  | 165 | 165 |  99
09  | 181 | 181 |   0
10  |  82 |  82 |  82
11  | 148 | 148 | 148
12  | 230 | 230 | 230
13  |  82 |  82 |  49
14  | 247 | 247 |   0
15  |   0 |   0 |   0

Palette at 4001A0_4001B0:
Idx | R | G | B
00  |   0 |   0 | 214
01  |  82 |  49 |  33
02  | 132 |  82 |  33
03  | 181 | 115 |  66
04  | 214 | 132 |  82
05  | 247 | 165 |  99
06  |  66 |   0 | 132
07  | 115 |  16 | 197
08  | 165 |   0 | 247
09  |  99 | 132 | 165
10  | 165 | 197 | 247
11  | 247 | 247 | 247
12  |  66 |  66 |   0
13  | 132 |  99 |   0
14  | 197 | 148 |   0
15  |   0 |   0 |   0

Palette at 4001C0_4001D0:
Idx | R | G | B
00  |   0 |   0 | 230
01  | 132 |  49 |  16
02  | 197 |  99 |  49
03  | 230 | 132 |  82
04  | 247 | 165 | 148
05  |   0 |  33 |  66
06  |  16 |  49 | 115
07  |  49 |  66 | 148
08  |  99 | 115 | 181
09  | 148 | 197 | 247
10  | 214 | 214 | 230
11  | 247 | 148 |   0
12  | 115 |   0 |   0
13  | 214 |  16 |  16
14  | 247 |  82 |  82
15  |   0 |   0 |   0

Palette at 4001E0_4001F0:
Idx | R | G | B
00  |   0 |   0 | 247
01  | 115 |   0 |   0
02  | 197 |  16 |  16
03  | 132 |  49 |  16
04  | 247 | 148 |   0
05  |  49 |   0 |  49
06  | 115 |   0 |  99
07  | 165 |  33 | 148
08  | 214 |  82 | 181
09  |   0 |  33 |  82
10  |   0 |  66 | 148
11  |  16 |  99 | 197
12  |  49 | 148 | 230
13  | 132 | 165 | 247
14  | 214 | 214 | 230
15  |   0 |   0 |   0

Palette at 400200_400210:
Idx | R | G | B
00  |   0 |  16 |   0
01  | 132 |  16 |   0
02  | 197 | 115 |  66
03  | 247 | 197 | 148
04  |  66 |   0 | 148
05  | 165 |   0 | 247
06  | 247 | 148 | 247
07  | 132 |   0 |   0
08  | 197 |   0 |   0
09  | 247 | 148 |  49
10  |  99 |  99 |  99
11  | 165 | 165 | 165
12  | 230 | 230 | 230
13  |  49 |  49 |  66
14  |  82 |   0 |   0
15  |  16 |  16 |  16

Palette at 400220_400230:
Idx | R | G | B
00  |   0 |  16 |  16
01  | 132 |  16 |   0
02  | 197 | 115 |  66
03  | 247 | 197 | 148
04  |  99 |  66 |   0
05  | 181 | 132 |   0
06  | 247 | 247 |   0
07  |   0 |  49 | 115
08  |  49 | 132 | 197
09  | 165 | 247 | 247
10  |  99 |  99 |  99
11  | 165 | 165 | 165
12  | 230 | 230 | 230
13  |  49 |  49 |  66
14  | 247 | 165 |   0
15  |  16 |  16 |  16

Palette at 400240_400250:
Idx | R | G | B
00  |   0 |  16 |  33
01  | 132 |  16 |   0
02  | 197 | 115 |  66
03  | 247 | 197 | 148
04  | 115 |  49 | 132
05  | 181 | 132 | 197
06  | 247 | 197 | 247
07  | 115 |   0 |   0
08  | 197 |   0 |   0
09  | 247 | 148 |  49
10  |  33 |  82 |   0
11  |  99 | 132 |   0
12  | 165 | 214 |   0
13  | 181 | 132 |   0
14  | 247 | 247 |   0
15  |  16 |  16 |  16

Palette at 400260_400270:
Idx | R | G | B
00  |   0 |  16 |  49
01  | 132 |  16 |   0
02  | 197 | 115 |  66
03  | 247 | 197 | 148
04  | 132 |   0 |   0
05  | 214 |   0 |   0
06  | 247 |  99 |  66
07  |  82 |  82 |  16
08  | 165 | 165 |  66
09  | 247 | 247 | 132
10  |  82 |  82 |  82
11  | 148 | 148 | 148
12  | 230 | 230 | 230
13  | 165 | 132 |   0
14  | 230 | 197 |   0
15  |  16 |  16 |  16

Palette at 400280_400290:
Idx | R | G | B
00  |   0 |  16 |  66
01  |  49 |  49 |  33
02  |  99 |  99 |  49
03  | 148 | 148 |  82
04  | 181 | 165 |  99
05  | 214 | 197 | 148
06  | 247 | 247 | 197
07  | 165 |   0 |   0
08  | 247 |   0 |   0
09  | 247 | 148 |   0
10  | 115 | 115 |   0
11  | 165 | 165 |   0
12  | 247 | 247 |  49
13  | 148 | 148 | 165
14  |  82 |  82 |  99
15  |  16 |  16 |  16

Palette at 4002A0_4002B0:
Idx | R | G | B
00  |   0 |  16 |  82
01  | 132 |  16 |   0
02  | 197 | 115 |  66
03  | 247 | 197 | 148
04  |  33 |   0 |  66
05  |  49 |   0 | 148
06  | 148 |   0 | 247
07  | 115 |   0 |   0
08  | 197 |   0 |   0
09  | 247 | 148 |  49
10  |   0 |  66 |  82
11  |  49 | 132 | 181
12  | 148 | 230 | 247
13  | 214 | 165 |  49
14  | 247 | 247 | 181
15  |  16 |  16 |  16

Palette at 4002C0_4002D0:
Idx | R | G | B
00  |   0 |  16 |  99
01  | 132 |  16 |   0
02  | 197 | 115 |  66
03  | 247 | 197 | 148
04  |   0 |  66 |   0
05  |  33 | 132 |  16
06  |  66 | 230 |  33
07  |  33 |  82 |  49
08  |  33 | 165 | 148
09  | 165 | 247 | 247
10  |  82 |  82 |  82
11  | 148 | 148 | 148
12  | 230 | 230 | 230
13  | 132 | 115 |   0
14  | 197 | 197 |   0
15  |  16 |  16 |  16

Palette at 4002E0_4002F0:
Idx | R | G | B
00  |   0 |  16 | 115
01  |  49 |  49 |  33
02  |  99 |  99 |  49
03  | 148 | 148 |  82
04  | 181 | 165 |  99
05  | 214 | 197 | 148
06  | 247 | 247 | 197
07  |   0 |   0 | 197
08  |   0 |  99 | 230
09  |   0 | 214 | 247
10  | 115 | 115 |   0
11  | 165 | 165 |   0
12  | 247 | 247 |  49
13  | 148 | 148 | 165
14  |  82 |  82 |  99
15  |  16 |  16 |  16

Palette at 400300_400310:
Idx | R | G | B
00  |   0 |  16 | 132
01  |  66 |  66 |  49
02  | 115 | 115 |  99
03  | 181 | 181 | 148
04  | 214 | 214 | 181
05  | 247 | 247 | 214
06  | 115 |   0 |   0
07  | 197 |   0 |   0
08  | 247 |  49 |   0
09  | 247 |  99 |  49
10  | 214 | 165 |  16
11  | 247 | 247 |  99
12  |  33 |  33 |  49
13  |  99 |  99 | 115
14  | 148 | 148 | 165
15  |  16 |  16 |  16

Palette at 400320_400330:
Idx | R | G | B
00  |   0 |  16 | 148
01  |  99 |  49 |  33
02  | 165 |  99 |  82
03  | 230 | 165 | 132
04  | 247 | 197 | 165
05  | 247 | 230 | 197
06  |   0 |   0 | 115
07  |   0 |  66 | 247
08  |   0 | 165 | 247
09  | 132 |  99 |  16
10  | 214 | 165 |  16
11  | 247 | 247 |  99
12  |  33 |  33 |  49
13  |  99 |  99 | 115
14  | 148 | 148 | 165
15  |  16 |  16 |  16

Palette at 400340_400350:
Idx | R | G | B
00  |   0 |  16 | 165
01  |   0 | 148 | 197
02  |   0 | 197 | 230
03  | 197 | 247 | 247
04  |  99 |  99 |  99
05  | 165 | 165 | 165
06  | 230 | 230 | 230
07  | 247 |   0 |   0
08  | 247 | 115 |   0
09  | 247 | 214 |   0
10  | 247 | 247 | 165
11  | 247 | 247 | 247
12  |   0 |  33 | 247
13  |   0 |  99 | 247
14  |   0 | 181 | 247
15  |   0 |  99 |  82

Palette at 400360_400370:
Idx | R | G | B
00  |   0 |  16 | 181
01  |   0 |  99 | 181
02  |   0 | 132 | 197
03  |   0 | 197 | 230
04  | 115 | 247 | 247
05  | 181 |   0 | 181
06  | 214 |  16 | 214
07  | 230 |  99 | 230
08  | 247 | 181 | 247
09  | 148 |   0 |   0
10  | 197 |   0 |   0
11  | 247 |  66 |   0
12  | 247 | 165 |   0
13  | 247 | 247 |   0
14  | 247 | 247 | 247
15  |  16 |  16 |  16

Palette at 400380_400390:
Idx | R | G | B
00  |   0 |  16 | 197
01  | 132 |  16 |   0
02  | 197 | 115 |  66
03  | 247 | 197 | 148
04  | 115 |  82 |   0
05  | 197 | 165 |   0
06  |  33 |  33 |  82
07  |  49 |  66 | 115
08  |  82 | 115 | 165
09  | 165 | 197 | 197
10  |  99 |  99 |  99
11  | 165 | 165 | 165
12  | 230 | 230 | 230
13  |  66 |  66 |  82
14  |  33 |  33 |  49
15  |  16 |  16 |  16

Palette at 4003A0_4003B0:
Idx | R | G | B
00  |   0 |  16 | 214
01  |  49 | 165 |   0
02  | 132 | 197 |   0
03  | 247 | 247 |   0
04  | 181 | 181 |   0
05  | 247 | 247 |  49
06  | 247 | 247 | 230
07  |   0 |  33 |  99
08  |   0 |  66 |  99
09  |   0 |  99 | 148
10  |   0 | 132 | 165
11  |   0 | 181 | 214
12  |   0 | 214 | 247
13  |  33 | 247 | 247
14  | 148 | 247 | 247
15  |   0 |   0 |   0

Palette at 4003C0_4003D0:
Idx | R | G | B
00  |   0 |  16 | 230
01  | 148 |   0 |  66
02  | 197 |   0 | 115
03  | 247 |  49 | 181
04  | 247 | 165 | 230
05  |   0 |  66 | 230
06  |   0 | 115 | 247
07  |   0 | 181 | 247
08  |   0 | 247 | 247
09  | 132 |  66 |   0
10  | 165 | 115 |   0
11  | 230 | 181 |   0
12  | 247 | 247 |  49
13  | 247 | 247 | 247
14  |   0 |   0 |   0
15  |   0 |   0 |   0

Palette at 4003E0_4003F0:
Idx | R | G | B
00  |   0 |  16 | 247
01  |   0 |  82 | 247
02  |   0 | 115 | 247
03  |   0 | 148 | 247
04  |   0 | 181 | 247
05  |   0 | 214 | 247
06  |  66 | 247 | 247
07  | 132 | 247 | 247
08  | 197 | 247 | 247
09  | 247 | 247 | 247
10  |   0 |   0 |   0
11  |   0 |   0 |   0
12  |   0 |   0 |   0
13  |   0 |   0 |   0
14  |   0 |   0 |   0
15  |  16 |  16 |  16

Palette at 400400_400410:
Idx | R | G | B
00  |   0 |  33 |   0
01  |   0 | 230 |  99
02  |   0 | 148 |  66
03  |   0 |  99 |  49
04  |   0 |  49 |  33
05  | 115 | 247 | 197
06  | 247 |  33 |   0
07  | 197 |   0 |   0
08  | 115 |   0 |   0
09  |  49 |   0 |   0
10  | 247 | 247 | 247
11  | 181 | 165 | 181
12  | 115 | 115 | 115
13  |  66 |  66 |  66
14  |  33 |  33 |  33
15  |   0 |   0 |   0

Palette at 400420_400430:
Idx | R | G | B
00  |   0 |  33 |  16
01  | 132 |  16 |   0
02  | 197 | 115 |  66
03  | 247 | 197 | 148
04  |  49 |  66 | 115
05  |  82 | 115 | 165
06  |  66 |  49 |   0
07  |  99 |  82 |  33
08  | 132 | 132 |  66
09  | 247 | 214 |  82
10  |  99 |  99 |  99
11  | 165 | 165 | 165
12  | 230 | 230 | 230
13  |  66 |  66 |  82
14  |  33 |  33 |  49
15  |  16 |  16 |  16

Palette at 400440_400450:
Idx | R | G | B
00  |   0 |  33 |  33
01  |  33 |  16 |   0
02  |  99 |  16 |   0
03  | 148 |  33 |   0
04  | 197 |  66 |   0
05  | 247 | 115 |   0
06  | 247 | 165 |   0
07  | 247 | 230 |   0
08  | 247 | 247 | 115
09  | 247 | 247 | 247
10  |  99 |  49 |   0
11  | 148 |  66 |   0
12  | 197 | 115 |   0
13  | 247 | 165 |   0
14  | 247 | 247 |   0
15  |  16 |   0 |   0

Palette at 400460_400470:
Idx | R | G | B
00  |   0 |  33 |  49
01  |  33 |  16 |   0
02  |  82 |  66 |   0
03  | 132 |  99 |   0
04  | 181 | 165 |   0
05  | 247 | 247 |   0
06  | 247 | 247 | 247
07  |  33 |  33 |  82
08  |  66 |  66 |  99
09  | 115 |  99 | 132
10  | 165 | 148 | 165
11  | 230 | 197 | 214
12  |  82 |  33 |   0
13  | 132 |  66 |   0
14  | 165 | 247 | 247
15  |   0 |   0 |   0

Palette at 400480_400490:
Idx | R | G | B
00  |   0 |  33 |  66
01  | 181 |   0 |   0
02  | 214 |   0 |   0
03  | 247 |   0 |   0
04  | 247 |  82 |   0
05  | 247 | 132 |   0
06  |  49 |  49 |  66
07  |  82 |  99 | 115
08  |  99 | 148 | 165
09  | 165 | 197 | 181
10  | 214 | 247 | 230
11  |   0 |   0 |   0
12  |   0 |   0 |   0
13  |   0 |   0 |   0
14  | 247 | 247 | 247
15  |  33 |  33 |  49

Palette at 4004A0_4004B0:
Idx | R | G | B
00  |   0 |  33 |  82
01  |  99 | 165 | 115
02  | 132 | 181 | 132
03  | 148 | 197 |  99
04  | 181 | 197 | 115
05  | 214 | 214 | 115
06  | 230 | 230 | 148
07  | 230 | 230 | 165
08  | 247 | 247 | 197
09  | 247 | 247 | 247
10  |  82 | 148 |  99
11  |  49 | 132 |  99
12  |   0 | 115 |  99
13  |   0 |  99 |  82
14  |   0 |   0 |   0
15  |   0 |   0 |   0

Palette at 4004C0_4004D0:
Idx | R | G | B
00  |   0 |  33 |  99
01  |  82 | 132 |  99
02  |  82 | 148 |  99
03  | 115 | 165 | 115
04  | 148 | 197 |  99
05  | 181 | 197 | 115
06  | 214 | 214 | 115
07  | 230 | 230 | 148
08  | 230 | 230 | 165
09  | 247 | 247 | 197
10  | 247 | 247 | 247
11  |   0 |   0 |   0
12  |   0 |   0 |   0
13  |   0 |   0 |   0
14  |   0 |   0 |   0
15  |   0 |   0 |   0

Palette at 4004E0_4004F0:
Idx | R | G | B
00  |   0 |  33 | 115
01  | 247 | 181 | 132
02  | 230 | 148 |  82
03  | 197 |  99 |  49
04  | 132 |  66 |   0
05  | 247 |  49 |   0
06  | 230 |   0 |   0
07  | 181 |   0 |   0
08  | 132 |   0 |   0
09  |  82 |   0 |   0
10  | 247 | 247 | 247
11  | 197 | 181 | 197
12  | 132 | 132 | 132
13  |  82 |  66 |  82
14  |  49 |  33 |  49
15  |  16 |  16 |  16

Palette at 400500_400510:
Idx | R | G | B
00  |   0 |  33 | 132
01  | 148 |   0 | 181
02  | 115 |   0 | 148
03  |  66 |   0 |  99
04  |  33 |   0 |  82
05  | 247 |  49 |   0
06  | 230 |   0 |   0
07  | 181 |   0 |   0
08  | 132 |   0 |   0
09  |  82 |   0 |   0
10  | 197 | 230 | 214
11  | 132 | 197 | 165
12  |  49 | 165 | 115
13  |   0 | 115 |  66
14  |   0 |  66 |  49
15  |  16 |  16 |  16

Palette at 400520_400530:
Idx | R | G | B
00  |   0 |  33 | 148
01  |   0 |  66 |  82
02  |   0 |  82 | 148
03  |   0 | 132 | 181
04  |  82 | 165 | 214
05  | 181 | 214 | 230
06  | 247 | 247 | 247
07  |  66 |  66 |   0
08  |  99 |  82 |   0
09  | 132 | 115 |   0
10  | 165 | 148 |   0
11  | 197 | 197 |  82
12  | 214 | 214 | 148
13  | 247 | 247 | 197
14  |   0 |   0 |   0
15  |   0 |   0 |   0

Palette at 400540_400550:
Idx | R | G | B
00  |   0 |  33 | 165
01  |  49 | 165 |  33
02  |  66 | 181 |  49
03  |  82 | 197 |  66
04  |  99 | 214 |  82
05  | 132 | 247 |  82
06  | 165 | 247 |  66
07  | 230 | 247 |  49
08  | 247 | 247 | 115
09  | 247 | 247 | 197
10  |  82 |   0 |   0
11  |  49 |   0 |   0
12  |  33 |  16 |   0
13  |  49 |  33 |  16
14  |   0 |   0 |   0
15  |   0 |   0 |   0

Palette at 400560_400570:
Idx | R | G | B
00  |   0 |  33 | 181
01  | 115 |  49 |   0
02  | 181 |  49 |  33
03  | 247 | 132 |  82
04  |  66 |  99 |  66
05  | 132 | 165 | 132
06  | 230 | 247 | 230
07  |  66 |  49 |   0
08  | 132 |  99 |   0
09  | 247 | 165 |   0
10  |  49 |  33 |  49
11  |  99 |  33 |  99
12  | 181 |  33 | 181
13  | 230 |  99 | 230
14  | 247 | 197 | 132
15  |  33 |   0 |  33

Palette at 400580_400590:
Idx | R | G | B
00  |   0 |  33 | 197
01  |  82 |  82 |   0
02  | 165 | 115 |  49
03  | 230 | 197 |  82
04  |  66 |  66 | 115
05  | 132 | 132 | 165
06  | 230 | 230 | 247
07  |   0 |  66 |  16
08  |  16 |  99 |  49
09  |  66 | 197 | 115
10  |  82 |   0 |   0
11  | 181 |   0 |   0
12  | 247 |   0 |   0
13  | 247 | 132 |   0
14  | 247 | 247 | 197
15  |  33 |   0 |   0

Palette at 4005A0_4005B0:
Idx | R | G | B
00  |   0 |  33 | 214
01  | 181 |  49 |   0
02  | 214 | 132 |   0
03  | 247 | 214 |  99
04  |  33 |  16 |  49
05  |  66 |  33 |  82
06  | 132 |  82 | 148
07  |  82 |  16 |   0
08  | 148 |  82 |   0
09  | 247 | 214 |   0
10  |  99 |   0 |   0
11  | 197 |   0 |   0
12  | 247 |  66 |   0
13  | 197 | 181 | 214
14  | 247 | 247 | 247
15  |   0 |   0 |   0

Palette at 4005C0_4005D0:
Idx | R | G | B
00  |   0 |  33 | 230
01  | 115 |  49 |   0
02  | 148 |  82 |  16
03  | 197 | 165 |  49
04  |  82 |  82 |  82
05  | 181 | 181 | 181
06  | 247 | 247 | 247
07  |  66 |  16 |   0
08  | 148 |  33 |   0
09  | 247 |  66 |   0
10  | 247 |  99 |   0
11  |   0 |  66 |  66
12  |   0 | 115 | 115
13  |   0 | 197 | 197
14  | 247 | 247 |  82
15  |   0 |   0 |   0

Palette at 4005E0_4005F0:
Idx | R | G | B
00  |   0 |  33 | 247
01  | 115 |  33 |   0
02  | 181 |  99 |  33
03  | 247 | 214 | 132
04  | 132 |  66 |  66
05  | 247 | 132 | 132
06  | 247 | 214 | 214
07  | 181 |  99 |   0
08  | 247 | 181 |   0
09  | 247 | 230 |   0
10  |  16 |  16 |  49
11  |  49 |  49 | 214
12  |  82 | 115 | 214
13  | 148 | 197 | 247
14  | 247 | 247 | 247
15  |  16 |  16 |  16

Palette at 400600_400610:
Idx | R | G | B
00  |   0 |  49 |   0
01  | 148 |  49 |   0
02  | 214 | 148 |  99
03  | 247 | 247 | 165
04  | 132 |  16 |   0
05  | 197 |  82 |   0
06  | 247 | 165 |  49
07  |  99 |  49 |  66
08  | 148 |  82 | 115
09  | 247 | 115 | 165
10  |  66 |  49 |  49
11  | 115 |  99 |  99
12  | 148 | 132 | 115
13  | 197 | 181 | 181
14  | 247 | 247 | 247
15  |   0 |   0 |   0

Palette at 400620_400630:
Idx | R | G | B
00  |   0 |  49 |  16
01  |   0 | 165 |   0
02  |   0 | 197 |   0
03  |   0 | 214 |   0
04  |   0 | 247 |   0
05  |   0 | 247 |  99
06  |   0 | 247 | 197
07  |   0 | 115 | 247
08  |   0 | 165 | 230
09  |   0 | 214 | 230
10  |   0 | 247 | 247
11  | 214 | 247 | 247
12  |  16 | 247 | 247
13  |  99 | 247 | 247
14  | 165 | 247 | 247
15  |   0 |   0 |   0

Palette at 400640_400650:
Idx | R | G | B
00  |   0 |  49 |  33
01  | 115 |  66 |  16
02  | 197 | 132 |  82
03  | 247 | 197 | 148
04  |  82 |  33 |   0
05  | 165 |  49 |   0
06  | 214 | 115 |  66
07  |  16 |  49 |  33
08  |  49 | 115 |  82
09  | 115 | 165 | 132
10  |  82 |  82 |  82
11  | 165 | 165 | 165
12  | 247 | 247 | 247
13  |   0 |  99 | 148
14  |   0 | 230 | 230
15  |  16 |  16 |  16

Palette at 400660_400670:
Idx | R | G | B
00  |   0 |  49 |  49
01  |   0 |  49 |  82
02  |   0 |  99 | 115
03  |   0 | 132 | 148
04  |  16 | 181 | 181
05  |  49 | 214 | 181
06  | 132 | 247 | 230
07  | 214 | 247 | 247
08  | 247 | 247 | 247
09  |   0 |   0 |   0
10  |   0 |   0 |   0
11  |   0 |   0 |   0
12  |   0 |   0 |   0
13  |   0 |   0 |   0
14  |   0 |   0 |   0
15  |   0 |   0 |   0

Palette at 400680_400690:
Idx | R | G | B
00  |   0 |  49 |  66
01  | 115 |   0 |   0
02  | 165 |   0 |   0
03  | 197 |   0 |   0
04  | 247 |   0 |   0
05  | 247 |  66 |   0
06  | 247 | 148 |   0
07  |  82 |  99 |   0
08  | 132 | 197 |   0
09  | 148 | 247 |   0
10  |  99 | 132 |  66
11  | 165 | 197 | 132
12  | 214 | 214 | 181
13  |   0 |   0 |   0
14  |   0 |   0 |   0
15  |  49 |  33 |  33

Palette at 4006A0_4006B0:
Idx | R | G | B
00  |   0 |  49 |  82
01  |  66 |  33 |   0
02  | 132 |  82 |   0
03  | 165 | 115 |  33
04  | 197 | 165 |  49
05  | 230 | 197 | 115
06  |  66 |  33 |  49
07  |  99 |  66 |  82
08  | 148 |  82 |  82
09  | 181 | 115 | 115
10  | 230 | 148 |  99
11  |   0 |  66 |  82
12  |   0 | 132 | 148
13  |   0 | 197 | 181
14  | 247 | 247 | 165
15  |  16 |  16 |  16

Palette at 4006C0_4006D0:
Idx | R | G | B
00  |   0 |  49 |  99
01  |  82 |  82 |  49
02  | 132 | 132 |  82
03  | 181 | 181 | 132
04  | 214 | 230 | 148
05  | 247 | 247 | 214
06  |  66 |  33 |  49
07  |  99 |  66 |  82
08  | 148 |  82 |  82
09  | 181 | 115 | 115
10  | 230 | 148 |  99
11  | 115 |   0 |   0
12  | 181 |   0 |   0
13  | 247 |   0 |   0
14  |  66 |   0 |   0
15  |  16 |  16 |  16

Palette at 4006E0_4006F0:
Idx | R | G | B
00  |   0 |  49 | 115
01  |  49 |  33 |   0
02  |  99 |  66 |  16
03  | 148 |  99 |  16
04  | 181 | 132 |  33
05  | 230 | 181 |  16
06  | 247 | 230 |  99
07  |  33 |  33 |  49
08  |  82 |  82 |  99
09  | 148 | 148 | 165
10  | 197 | 197 | 214
11  | 247 | 247 | 247
12  | 247 |   0 |   0
13  | 247 | 148 |   0
14  | 247 | 247 |  66
15  |  16 |  16 |  16

Palette at 400700_400710:
Idx | R | G | B
00  |   0 |  49 | 132
01  | 115 |  66 |  16
